Entry Time,Exit Time,Entry Price,Exit Price,PnL,Return [%],Duration,Status
2022-11-08 10:00:00+00:00,2022-11-08 16:00:00+00:00,19785.687899999997,19512.239,-209.89603363849182,-1.5,0 days 06:00:00,Closed
2022-11-08 23:00:00+00:00,2022-11-09 13:00:00+00:00,18468.90984,17609.03108,-657.3352583692912,-4.77,0 days 14:00:00,Closed
2022-11-09 20:00:00+00:00,2022-11-10 14:00:00+00:00,16793.03232,17644.41338,648.770582609943,4.95,0 days 18:00:00,Closed
2022-11-14 07:00:00+00:00,2022-11-14 19:00:00+00:00,16648.069874999997,16606.512590000002,-50.851687529138424,-0.37,0 days 12:00:00,Closed
2022-11-15 02:00:00+00:00,2022-11-15 10:00:00+00:00,16725.05835,16789.52104,36.36480566976009,0.27,0 days 08:00:00,Closed
2022-11-20 05:00:00+00:00,2022-11-20 08:00:00+00:00,16692.58212,16713.838900000002,0.9990275802779749,0.01,0 days 03:00:00,Closed
2022-11-22 13:00:00+00:00,2022-11-22 23:00:00+00:00,15843.217649999999,16177.907000000001,273.79253352740636,1.99,0 days 10:00:00,Closed
2022-11-24 17:00:00+00:00,2022-11-27 13:00:00+00:00,16630.83126,16551.58007,-83.61436123688931,-0.6,2 days 20:00:00,Closed
2022-11-28 16:00:00+00:00,2022-11-29 06:00:00+00:00,16154.333129999999,16476.607574999998,261.2025131962615,1.87,0 days 14:00:00,Closed
2022-12-02 01:00:00+00:00,2022-12-03 04:00:00+00:00,17046.33891,17012.64942,-45.090322051913496,-0.32,1 days 03:00:00,Closed
2022-12-04 08:00:00+00:00,2022-12-05 00:00:00+00:00,17004.888195,17098.096675,60.5587102241085,0.43,0 days 16:00:00,Closed
2022-12-09 23:00:00+00:00,2022-12-12 00:00:00+00:00,17141.436435,17076.507475,-70.87682996887312,-0.5,2 days 01:00:00,Closed
2022-12-12 07:00:00+00:00,2022-12-12 17:00:00+00:00,16947.80967,16993.998750000002,21.554131911629774,0.15,0 days 10:00:00,Closed
2022-12-18 04:00:00+00:00,2022-12-19 16:00:00+00:00,16749.39051,16659.895885,-92.65226606637229,-0.65,1 days 12:00:00,Closed
2022-12-19 23:00:00+00:00,2022-12-20 02:00:00+00:00,16425.02841,16571.959875,108.93984508226882,0.77,0 days 03:00:00,Closed
2022-12-20 09:00:00+00:00,2022-12-20 13:00:00+00:00,16832.75217,16808.03178,-37.837154593811825,-0.27,0 days 04:00:00,Closed
2022-12-22 21:00:00+00:00,2022-12-23 08:00:00+00:00,16788.63012,16840.025775000002,26.30371323317836,0.19,0 days 11:00:00,Closed
2022-12-26 02:00:00+00:00,2022-12-26 15:00:00+00:00,16864.78818,16824.70344,-50.670164365901925,-0.36,0 days 13:00:00,Closed
2022-12-26 22:00:00+00:00,2022-12-27 14:00:00+00:00,16841.79669,16811.03028,-42.726507657536374,-0.3,0 days 16:00:00,Closed
2022-12-27 21:00:00+00:00,2022-12-28 15:00:00+00:00,16674.79323,16731.29017,30.777516062037435,0.22,0 days 18:00:00,Closed
2022-12-28 22:00:00+00:00,2022-12-29 17:00:00+00:00,16536.14394,16623.743970000003,57.767799154131644,0.41,0 days 19:00:00,Closed
2022-12-30 21:00:00+00:00,2023-01-01 19:00:00+00:00,16577.64468,16583.054325,-12.380193383414923,-0.09,1 days 22:00:00,Closed
2023-01-03 21:00:00+00:00,2023-01-04 03:00:00+00:00,16669.700685,16728.15174,32.61685658393507,0.23,0 days 06:00:00,Closed
2023-01-05 10:00:00+00:00,2023-01-06 12:00:00+00:00,16815.62361,16730.37063,-88.90899435282148,-0.63,1 days 02:00:00,Closed
2023-01-06 19:00:00+00:00,2023-01-07 01:00:00+00:00,16859.065319999998,16969.660925000004,75.51199602036893,0.54,0 days 06:00:00,Closed
2023-01-07 16:00:00+00:00,2023-01-08 16:00:00+00:00,16949.0703,16991.929785,18.811609264648915,0.13,1 days 00:00:00,Closed
2023-01-10 09:00:00+00:00,2023-01-10 16:00:00+00:00,17264.96817,17319.03615,27.388696144977683,0.19,0 days 07:00:00,Closed
2023-01-11 18:00:00+00:00,2023-01-11 23:00:00+00:00,17390.741025,17547.631795,111.14515511256246,0.78,0 days 05:00:00,Closed
2023-01-12 16:00:00+00:00,2023-01-12 17:00:00+00:00,18096.32364,18125.482725,5.88090872176077,0.04,0 days 01:00:00,Closed
2023-01-15 15:00:00+00:00,2023-01-15 23:00:00+00:00,20798.263935,20900.814365000002,53.44487409047405,0.37,0 days 08:00:00,Closed
2023-01-19 18:00:00+00:00,2023-01-19 20:00:00+00:00,20851.580579999998,21081.55395,141.34888861263997,0.98,0 days 02:00:00,Closed
2023-01-22 11:00:00+00:00,2023-01-23 11:00:00+00:00,22883.646104999996,22898.495025000004,-8.0142334686933,-0.06,1 days 00:00:00,Closed
2023-01-25 20:00:00+00:00,2023-01-25 21:00:00+00:00,22761.344985,22924.45204,86.58519553517291,0.6,0 days 01:00:00,Closed
2023-01-26 13:00:00+00:00,2023-01-27 01:00:00+00:00,23132.52048,22913.61746,-155.70545186778654,-1.07,0 days 12:00:00,Closed
2023-01-27 08:00:00+00:00,2023-01-27 18:00:00+00:00,23083.826145,23193.13763,51.06184303850374,0.35,0 days 10:00:00,Closed
2023-01-28 09:00:00+00:00,2023-01-29 02:00:00+00:00,22990.359435,23219.604390000004,127.14698178039176,0.88,0 days 17:00:00,Closed
2023-01-31 13:00:00+00:00,2023-01-31 20:00:00+00:00,22907.26791,23151.408505000003,138.2990461348311,0.95,0 days 07:00:00,Closed
2023-02-02 17:00:00+00:00,2023-02-02 21:00:00+00:00,23802.245174999996,23860.82362,18.604979167267565,0.13,0 days 04:00:00,Closed
2023-02-03 04:00:00+00:00,2023-02-05 15:00:00+00:00,23545.406819999997,23151.868275,-264.7909299866884,-1.79,2 days 11:00:00,Closed
2023-02-05 22:00:00+00:00,2023-02-06 20:00:00+00:00,22907.858204999997,23018.774855000003,52.855294004289085,0.36,0 days 22:00:00,Closed
2023-02-13 23:00:00+00:00,2023-02-14 08:00:00+00:00,21652.090635,21756.67622,52.87875291440892,0.36,0 days 09:00:00,Closed
2023-02-17 14:00:00+00:00,2023-02-17 19:00:00+00:00,23795.01156,24348.47967,322.5428233031557,2.2,0 days 05:00:00,Closed
2023-02-22 23:00:00+00:00,2023-02-23 06:00:00+00:00,24114.981465,24379.144330000003,145.75661900363536,0.97,0 days 07:00:00,Closed
2023-02-26 09:00:00+00:00,2023-02-26 11:00:00+00:00,23163.966194999997,23225.291545,21.830343047433885,0.14,0 days 02:00:00,Closed
2023-03-01 06:00:00+00:00,2023-03-01 12:00:00+00:00,23706.987569999998,23728.000065,-4.7506656002623515,-0.03,0 days 06:00:00,Closed
2023-03-01 22:00:00+00:00,2023-03-03 01:00:00+00:00,23565.716969999998,23405.871210000005,-120.60610100769959,-0.8,1 days 03:00:00,Closed
2023-03-03 08:00:00+00:00,2023-03-06 16:00:00+00:00,22371.960389999997,22543.152785000002,96.68084810886941,0.64,3 days 08:00:00,Closed
2023-03-11 01:00:00+00:00,2023-03-11 02:00:00+00:00,20225.637765,20576.456625000003,243.50232716531204,1.61,0 days 01:00:00,Closed
2023-03-11 18:00:00+00:00,2023-03-11 22:00:00+00:00,20255.60274,20343.733045,48.27935610702099,0.31,0 days 04:00:00,Closed
2023-03-15 12:00:00+00:00,2023-03-16 11:00:00+00:00,24765.646634999997,24917.764885,75.97236913586315,0.49,0 days 23:00:00,Closed
2023-03-19 12:00:00+00:00,2023-03-19 17:00:00+00:00,27175.911165,27904.90057,395.89158604122724,2.56,0 days 05:00:00,Closed
2023-03-26 08:00:00+00:00,2023-03-26 10:00:00+00:00,27518.692469999998,27672.896630000003,69.76552464492693,0.44,0 days 02:00:00,Closed
2023-03-28 18:00:00+00:00,2023-03-29 05:00:00+00:00,26876.6316,27554.275970000002,382.15912201151355,2.4,0 days 11:00:00,Closed
2023-03-31 01:00:00+00:00,2023-03-31 22:00:00+00:00,28263.30459,28462.951405,95.54947652481336,0.59,0 days 21:00:00,Closed
2023-04-03 08:00:00+00:00,2023-04-03 16:00:00+00:00,27972.709365,28037.454260000002,18.258497826128384,0.11,0 days 08:00:00,Closed
2023-04-03 23:00:00+00:00,2023-04-04 11:00:00+00:00,27813.899999999998,28205.53018,211.36070423170034,1.29,0 days 12:00:00,Closed
2023-04-09 19:00:00+00:00,2023-04-09 21:00:00+00:00,28041.19359,28100.572685000003,15.239393593404008,0.09,0 days 02:00:00,Closed
2023-04-12 10:00:00+00:00,2023-04-13 10:00:00+00:00,30022.673834999998,30189.747575,72.60611660251797,0.44,1 days 00:00:00,Closed
2023-04-18 09:00:00+00:00,2023-04-18 10:00:00+00:00,29718.741945,29882.741155,72.14491857397152,0.43,0 days 01:00:00,Closed
2023-04-22 16:00:00+00:00,2023-04-22 22:00:00+00:00,27502.674465,27655.255455000002,72.9508143816282,0.43,0 days 06:00:00,Closed
2023-05-02 14:00:00+00:00,2023-05-02 16:00:00+00:00,28023.074535,28526.419655,282.49474442370564,1.68,0 days 02:00:00,Closed
2023-05-03 17:00:00+00:00,2023-05-04 03:00:00+00:00,28491.19848,29046.0697,313.1576457239983,1.83,0 days 10:00:00,Closed
2023-05-10 00:00:00+00:00,2023-05-10 13:00:00+00:00,27642.09414,28161.182365,306.72414789277485,1.76,0 days 13:00:00,Closed
2023-05-17 17:00:00+00:00,2023-05-17 22:00:00+00:00,26918.552549999997,27351.27752,264.1062806477711,1.49,0 days 05:00:00,Closed
2023-05-22 13:00:00+00:00,2023-05-23 03:00:00+00:00,26744.975805,27114.845795,227.5617986168154,1.26,0 days 14:00:00,Closed
2023-05-25 19:00:00+00:00,2023-05-25 22:00:00+00:00,26387.717264999996,26462.612075,29.879213630374508,0.16,0 days 03:00:00,Closed
2023-05-29 23:00:00+00:00,2023-05-30 12:00:00+00:00,27703.064609999998,28007.379305000002,178.81927653223525,0.98,0 days 13:00:00,Closed
2023-06-01 16:00:00+00:00,2023-06-01 17:00:00+00:00,26907.917235,27078.523965,94.85273780002706,0.51,0 days 01:00:00,Closed
2023-06-06 16:00:00+00:00,2023-06-06 17:00:00+00:00,26079.153059999997,26356.815000000002,175.22422545727449,0.94,0 days 01:00:00,Closed
2023-06-07 11:00:00+00:00,2023-06-07 14:00:00+00:00,26609.027864999993,26805.220685000004,115.57767729591815,0.62,0 days 03:00:00,Closed
2023-06-07 21:00:00+00:00,2023-06-10 05:00:00+00:00,26373.119969999996,25752.407355000003,-466.0414162650792,-2.47,2 days 08:00:00,Closed
2023-06-10 12:00:00+00:00,2023-06-11 20:00:00+00:00,25744.275705,26017.874555000002,173.2156488859427,0.94,1 days 08:00:00,Closed
2023-06-13 19:00:00+00:00,2023-06-14 20:00:00+00:00,25902.584819999996,25861.642710000004,-51.58755113513376,-0.28,1 days 01:00:00,Closed
2023-06-15 03:00:00+00:00,2023-06-15 21:00:00+00:00,25096.331895,25553.217,314.51947906367207,1.7,0 days 18:00:00,Closed
2023-06-19 12:00:00+00:00,2023-06-19 14:00:00+00:00,26460.953865,26521.902415,20.740648995676892,0.11,0 days 02:00:00,Closed
2023-06-29 07:00:00+00:00,2023-06-29 10:00:00+00:00,30250.687785,30418.123330000002,81.61787362209219,0.43,0 days 03:00:00,Closed
