period,oversold,overbought,exit_threshold,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
14,30,75,50,-87.21685382846286,-1.567251578470103,88.69382377335981,37.47927031509121,603
14,30,70,45,-87.30752686571131,-1.661814795691425,88.00361508279957,38.139534883720934,645
14,30,70,50,-87.44176063919718,-1.634558794857596,88.706503255899,38.14262023217247,603
16,35,75,45,-87.50610162289973,-1.5504940911968712,89.07955102230035,35.083226632522404,781
14,30,75,45,-87.8103442062014,-1.6344402424064401,88.4528851758332,36.74418604651163,645
12,35,75,50,-88.08750234275124,-1.4180852796270944,88.62375108938413,35.70731707317073,1026
16,35,65,45,-89.00289893410114,-1.7134478536857864,90.30673856037433,36.74775928297055,781
12,35,70,50,-89.73446439204564,-1.5793909989037178,90.28000996289217,37.26829268292683,1026
14,35,70,50,-89.85113494032457,-1.694957299824593,90.95405261203538,38.10096153846153,832
14,35,75,50,-89.98929070842362,-1.6465165995115578,91.04009616204779,37.13942307692308,832
16,35,70,45,-90.66456092448337,-1.83457292414815,91.7944218764076,36.61971830985916,781
14,35,65,45,-90.79042505453646,-1.8803048711426262,91.14979200012404,37.05263157894737,950
12,35,65,50,-90.81513672890574,-1.6895362918346952,91.39766358690551,39.21951219512195,1026
12,35,75,45,-91.46102176526567,-1.71991798619664,91.75805895043064,33.47826086956522,1151
14,35,75,45,-92.18526188055442,-1.8948020642054155,92.4902008799309,33.578947368421055,950
14,35,70,45,-92.21774208272063,-1.9818750704643464,92.52141367169932,34.94736842105263,950
12,35,70,45,-92.60372883035642,-1.9131608613411568,92.97585649194738,35.04347826086956,1151
12,35,65,45,-94.31409542808187,-2.18378725424924,94.51188549648715,36.69565217391305,1151
