period,oversold,overbought,exit_threshold,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
16,30,70,45,-84.0372949747348,-0.9966200225269793,86.65093521318923,41.714285714285715,525
16,30,70,55,-84.60546403917022,-0.9266376374710422,87.50088216357264,49.681528662420384,471
16,30,65,45,-85.32217103290787,-1.0792306486034986,87.4291954201548,42.285714285714285,525
16,30,65,55,-85.61330770565725,-0.9688356818940346,87.6785389863841,50.530785562632694,471
12,25,65,55,-85.62429293131622,-1.0279728769734782,87.1032767160369,49.90583804143126,531
12,25,75,55,-85.7772159874545,-1.0274517871950157,87.17142462964367,48.21092278719397,531
12,25,70,55,-85.92464866840277,-1.0459713345142838,87.30440501224176,50.470809792843696,531
14,35,70,45,-86.02948469283459,-1.0049051240030036,87.05689415093515,40.49586776859504,968
16,35,70,50,-86.27622971927597,-0.9599720815937025,87.82838529387413,42.241379310344826,696
14,35,75,45,-86.30860784582343,-0.9660113544091559,87.33700396464404,38.1198347107438,968
12,30,70,50,-86.57917382266174,-1.0480036802887513,87.53381712072606,42.63565891472868,774
16,35,65,50,-86.9741599590517,-0.9976775178845076,88.43592543317467,43.53448275862069,696
14,35,70,55,-87.10996482383368,-0.9543541280490841,88.85395219947924,49.097938144329895,776
12,25,75,45,-87.80000412715806,-1.2230322372289288,89.527754496762,38.7434554973822,573
12,30,70,45,-88.55159618328713,-1.2061188465373507,90.14601755345593,40.415140415140414,819
12,30,75,50,-88.90796996159028,-1.1498218577992299,89.69696253165843,40.43927648578811,774
14,35,75,55,-89.14153612241523,-1.0256291833717457,90.62144483945272,46.90721649484536,776
12,30,65,50,-89.17917025106881,-1.1863935898143962,89.88594685060643,43.02325581395349,774
12,30,65,45,-89.25723459197499,-1.2394831954131245,90.73336575938131,40.9035409035409,819
16,35,65,45,-89.48963022557098,-1.218829261511969,90.66910852472316,39.847715736040605,788
16,35,70,45,-89.55345368163621,-1.1958197823016592,90.95374072372717,38.45177664974619,788
16,35,75,55,-89.86556576602699,-1.0319333619904203,91.75791780475645,47.39336492890995,633
14,35,65,45,-90.20945769832531,-1.25065890585807,90.90587351276234,40.909090909090914,968
12,35,70,50,-90.98652952826218,-1.2366226061193024,91.53007905123454,40.019762845849804,1012
12,35,75,50,-91.42023628903772,-1.2446415514678346,91.92309630045438,38.63636363636363,1012
12,30,70,55,-91.50349099161195,-1.220942558842142,92.27777735855368,47.5,720
12,30,75,55,-91.5606218625633,-1.2116893191259979,92.32970189659046,45.416666666666664,720
12,30,65,55,-92.39060942508507,-1.2756415673168173,92.97484749372713,46.666666666666664,720
16,35,65,55,-92.49000720837896,-1.2144455167460362,93.50219579897808,49.763033175355446,633
12,35,65,50,-92.55123527669211,-1.3598312455887231,92.90723078321935,39.920948616600796,1012
16,35,70,55,-92.68155772525472,-1.2328233968096922,93.67420132852253,48.34123222748815,633
12,30,75,45,-93.03776073551806,-1.4763748970952308,94.05291764628666,37.85103785103785,819
12,35,75,55,-94.71049298786839,-1.3951516117502887,95.18209878127351,42.98245614035088,912
12,35,70,55,-95.17609580635356,-1.465495488371201,95.60618903797933,43.640350877192986,912
12,35,65,55,-95.33797925431416,-1.4877899057570263,95.69710100666255,42.65350877192983,912
12,35,70,45,-95.7231766039561,-1.7429222553738848,96.15857736804759,35.877192982456144,1140
12,35,65,45,-96.29588164888155,-1.8324701540043407,96.68593881486306,35.175438596491226,1140
12,35,75,45,-96.89092766604152,-1.8671532735923144,97.19765052109253,34.21052631578947,1140
