rsi_period,oversold,overbought,min_adx,stop_loss_atr,take_profit_atr,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades
14,30,70,20,2.0,3.0,680.7108527156931,2.78410543481299,14.220547237104514,65.5011655011655,429
10,35,65,15,2.0,2.5,522.080616787391,2.7813383492172274,15.600167090663087,61.815561959654175,694
10,40,75,20,1.5,3.0,870.4016310724303,2.7808614153635665,9.416870096926374,54.79616306954437,834
18,40,70,25,1.5,3.0,755.2138621603976,2.7761133097990345,14.602887551037574,55.31453362255966,461
14,30,70,25,1.5,4.0,463.237792265678,2.775766780053488,14.461194529577263,64.07766990291263,309
18,30,65,15,2.0,4.0,695.0258083459632,2.7751289401097434,11.698249707270264,62.8992628992629,407
14,35,70,25,2.0,4.0,529.1314625371407,2.7724386454673238,10.905278121658014,64.81481481481481,324
14,30,65,20,2.0,3.0,430.27557156212436,2.772165950046825,14.401926689108063,66.37931034482759,348
10,30,65,20,1.5,3.0,315.8462094092742,2.7697145411546558,8.493335140455411,63.29113924050633,395
10,35,65,15,2.5,3.0,577.8880725603372,2.7561357552063157,18.455305934313436,64.04160475482912,673
14,40,65,15,1.5,2.5,663.3093225585372,2.755124549322806,9.064740693625494,61.302211302211305,814
18,30,65,20,2.0,3.0,569.7187267696934,2.754191778891701,14.220547237104533,66.87116564417178,326
10,30,65,20,2.0,4.0,349.9529347766447,2.7530799202038208,9.57314271925804,65.17150395778364,379
14,30,65,15,1.5,2.5,432.4929271476754,2.75166158653885,9.064740693625495,60.588235294117645,510
18,40,70,25,2.0,4.0,927.7190357548881,2.7515416478960137,11.389765271865262,58.39598997493734,399
14,35,70,15,2.5,4.0,1104.6577672051544,2.7494470869403664,17.824994066285488,62.80193236714976,621
14,35,70,20,2.5,4.0,829.1007352315552,2.738885524952967,15.675827667215122,66.88034188034187,468
14,40,65,20,2.0,3.0,598.6588010269261,2.738192727811421,15.593347200481478,64.71663619744058,547
18,35,70,25,1.5,3.0,708.0526084236374,2.730968366177872,14.602887551037538,57.907542579075425,411
18,35,65,25,2.0,4.0,508.0089728463843,2.729772354748745,11.389765271865276,66.78832116788321,274
10,30,75,20,1.5,3.0,630.8358038862093,2.7270872201362155,14.464859172209007,56.52866242038217,628
10,35,65,20,1.5,4.0,368.64945785523264,2.726260203185985,8.795923246819948,61.30952380952381,504
18,40,70,20,1.5,3.0,1069.4450618467831,2.7207801369151965,14.602887551037547,53.56622998544396,687
14,35,65,20,2.5,4.0,505.73994223109116,2.7195053202315425,15.675827667215142,67.64705882352942,408
14,35,70,20,2.0,3.0,692.7159414021975,2.718187983993741,15.916261991840486,63.725490196078425,510
14,35,65,25,1.5,3.0,323.27123772876973,2.7125396987564954,9.06474069362549,65.97222222222221,288
10,30,75,15,1.5,2.5,749.5733234772372,2.709419853213747,15.549916660213972,57.506053268765136,826
10,30,70,15,1.5,2.5,525.1894510412972,2.7072172425325522,16.365775165665067,59.943582510578274,709
10,30,65,20,1.5,2.5,301.04407443945524,2.705962923946823,8.493335140455411,63.037974683544306,395
18,35,65,25,1.5,3.0,453.5783737430688,2.7021987504819687,14.602887551037538,65.42372881355932,295
18,35,65,20,2.5,3.0,690.6038258250223,2.693566474033492,21.554429691864456,68.40796019900498,402
18,40,70,15,2.0,4.0,1672.649703007345,2.6930773308064837,16.955466945747133,54.41988950276243,724
18,30,65,20,2.5,4.0,612.8100439721097,2.6927810507624326,21.554429691864467,70.19867549668875,302
18,35,65,15,2.5,4.0,966.654955737954,2.691806671455919,22.305747060324496,65.52380952380953,525
18,35,65,15,1.5,2.5,675.8452069444141,2.6917370265673726,14.602887551037561,59.06249999999999,640
10,40,75,15,2.5,4.0,1417.1850707935562,2.6895148771038153,12.632717105542406,60.93928980526919,873
18,40,65,20,2.0,3.0,760.2694726930775,2.6890692937354705,14.634406815018398,62.26053639846744,522
