timestamp,sum_open_interest,sum_open_interest_value
1695165600000,92771.712,2523576109.824
1695165900000,92744.459,2523575175.1560974
1695166200000,92741.183,2522685848.697184
1695166500000,92739.328,2522211111.324678
1695166800000,92783.689,2523345206.044
1695167100000,92817.842,2523948827.91289
1695167400000,92728.347,2522617319.3021927
1695167700000,92707.277,2521888244.0479
1695168000000,92711.295,2521367107.6905
1695168300000,92774.267,2521865308.433109
1695168600000,92722.386,2521288575.6348
1695168900000,92594.862,2521584971.040016
1695169200000,92491.691,2516920892.1684
1695169500000,92437.519,2511906385.0579
1695169800000,92458.531,2512005828.739
1695170100000,92438.352,2509451673.2496
1695170400000,92264.98,2506094468.691203
1695170700000,92237.33,2503367254.865
1695171000000,92181.682,2501921467.4984
1695171300000,92180.346,2503279880.1264815
1695171600000,92124.403,2505055978.8163
1695171900000,92311.12,2514561982.7737474
1695172200000,92195.558,2513262522.316726
1695172500000,92206.875,2512674829.053487
1695172800000,92175.158,2511938970.7844
1695173100000,92229.883,2514925873.890134
1695173400000,92194.543,2511683593.3119
1695173700000,92139.566,2510808175.193144
1695174000000,92172.836,2513037069.8384
1695174300000,92333.179,2520738672.079481
1695174600000,92306.743,2517814106.1138
1695174900000,92398.592,2523562625.1264
1695175200000,92535.784,2529022847.0001507
1695175500000,92286.332,2520797820.046265
1695175800000,92172.172,2514369947.644221
1695176100000,92042.218,2507404898.5342
1695176400000,92081.341,2510717468.1083
1695176700000,92056.927,2504109659.020195
1695177000000,91973.099,2503187049.6377087
1695177300000,92053.701,2504143991.632043
1695177600000,91835.701,2495488237.5534
1695177900000,91919.875,2498207554.7375
1695178200000,91849.975,2497676370.175
1695178500000,91915.989,2498699394.5694
1695178800000,92206.81,2503599305.12
1695179100000,92215.224,2506658769.4248
1695179400000,92246.026,2507319929.1273317
1695179700000,92276.348,2508495609.8408
1695180000000,92204.493,2503029269.2245
1695180300000,92048.597,2497042680.25954
1695180600000,92193.979,2500432218.4369125
1695180900000,92280.488,2501281083.3376
1695181200000,92284.995,2503876484.34
1695181500000,92289.265,2504931296.7374806
1695181800000,92139.381,2496912727.5333
1695182100000,92140.292,2495334173.9148
1695182400000,92233.872,2500128227.9808
1695182700000,92275.788,2500267841.3328
1695183000000,92399.752,2503414200.8616
1695183300000,92449.307,2505089626.8483
1695183600000,92426.148,2502314623.3773003
1695183900000,92297.002,2501645631.3086
1695184200000,92318.264,2503070683.865829
1695184500000,92299.026,2500387728.63355
1695184800000,92133.221,2498643740.1979
1695185100000,92235.203,2501736841.2217565
1695185400000,92234.211,2501935984.1649
1695185700000,92268.548,2502738230.226
1695186000000,92299.644,2497363498.611242
1695186300000,92214.022,2495837055.2454
1695186600000,92225.088,2497904071.437168
1695186900000,92134.102,2491503287.9273357
1695187200000,92086.019,2488514160.2522
1695187500000,92140.203,2495225463.8700657
1695187800000,92176.048,2497098802.4195642
1695188100000,92316.959,2498973921.6505
1695188400000,92256.783,2496975960.2865
1695188700000,92268.142,2496389510.9771934
1695189000000,92240.258,2496710092.183837
1695189300000,92254.642,2494052947.8196554
1695189600000,92246.871,2491790928.8262
1695189900000,92021.623,2478685234.9657
1695190200000,92022.011,2484511477.1901
1695190500000,92001.33,2487885952.5072184
1695190800000,91889.784,2484901916.8848
1695191100000,91828.336,2484057499.9696
1695191400000,91776.11,2482570510.9234195
1695191700000,91773.158,2481793979.8466
1695192000000,91772.556,2481300482.85
1695192300000,91873.966,2483932106.9658
1695192600000,91883.751,2481109890.3658514
1695192900000,91903.813,2483706743.604056
1695193200000,91969.357,2487706728.3001
1695193500000,91927.927,2486632039.7646
1695193800000,91928.879,2487535055.3335376
1695194100000,91956.204,2486192300.6868
1695194400000,91954.927,2487863814.244976
1695194700000,91904.763,2488380762.887059
1695195000000,91928.255,2488029028.7495
1695195300000,91883.023,2488698882.605388
1695195600000,91780.718,2488496497.493
1695195900000,91802.46,2489104359.702
1695196200000,91831.567,2490187419.1823
1695196500000,91699.232,2484214724.1888
1695196800000,91672.009,2483339720.6046
1695197100000,91747.236,2484909663.9948
1695197400000,91750.553,2485761032.2078
1695197700000,91830.237,2488608605.7237
1695198000000,92075.033,2497995645.29
1695198300000,92113.5,2498523419.4
1695198600000,92111.62,2498682238.7595525
1695198900000,92120.699,2498410590.6149564
1695199200000,92093.523,2498062053.602758
1695199500000,92111.127,2500411546.7596316
1695199800000,92165.153,2501329072.2893496
